brand,category,link,price,product_name,description,seller,photo,product_id
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-11-128gb-chernyy-299393625/,56880,"Смартфон Apple iPhone 11 128GB, черный","Диагональ экрана, дюймы : 6.1
Тип : Смартфон
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A13 Bionic (6 ядер), 2.65 ГГц
Беспроводные интерфейсы : Wi-Fi, Bluetooth, NFC, GPS
Стандарты связи : 2G, 3G, LTE
Разрешение экрана : 1792x828
Емкость аккумулятора, мАч : 3110
",180789,https://cdn1.ozone.ru/s3/multimedia-v/6060997495.jpg,27
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-3-64gb-seryy-311355418/,13490,"Смартфон Xiaomi Redmi 9C 3/64GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Wi-Fi, NFC, Bluetooth
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 3 ГБ
Встроенная память : 64 ГБ
",198245,https://cdn1.ozone.ru/s3/multimedia-n/6209089787.jpg,28
Tecno,Смартфоны,https://www.ozon.ru/product/smartfon-tecno-pop-5-lte-2-32gb-siniy-466183029/,10980,"Смартфон Tecno POP 5 LTE 2/32GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.52
Емкость аккумулятора, мАч : 5000
Процессор : SC9863 (8 ядер), 1.6 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth
Разрешение экрана : 1560x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-h/6228702977.jpg,29
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9a32gb-siniy-182413400/,8890,"Смартфон Xiaomi Redmi 9A 2/32GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G25 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Wi-Fi, Bluetooth
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-6/6019317894.jpg,30
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-note-10-pro-8-128gb-goluboy-240478327/,29570,"Смартфон Xiaomi Redmi Note 10 Pro 8/128GB, голубой","Тип : Смартфон
Диагональ экрана, дюймы : 6.67
Емкость аккумулятора, мАч : 5020
Процессор : Snapdragon 732G (8 ядер), 2.3 ГГц
Основной материал корпуса : Стекло
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi, ИК-порт
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 8 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-a/6050898142.jpg,31
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-12-128gb-siniy-299360848/,69880,"Смартфон Apple iPhone 12 128GB, синий","Диагональ экрана, дюймы : 6.1
Тип : Смартфон
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A14 Bionic (6 ядер), 2.66 ГГц
Беспроводные интерфейсы : GPS, Wi-Fi, NFC, Bluetooth
Стандарты связи : 5G, 2G, 3G, LTE
Разрешение экрана : 2532x1170
Емкость аккумулятора, мАч : 2815
",180789,https://cdn1.ozone.ru/s3/multimedia-0/6058399524.jpg,32
Redmi,Смартфоны,https://www.ozon.ru/product/smartfon-redmi-note-10s-6-128gb-seryy-272350623/,23980,"Смартфон Redmi Redmi Note 10S 6/128GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.43
Емкость аккумулятора, мАч : 5000
Процессор : Helio G95 (8 ядер), 2.05 ГГц
Основной материал корпуса : Пластик, Стекло
Беспроводные интерфейсы : GPS, Bluetooth, Wi-Fi, NFC, ИК-порт
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-c/6067361304.jpg,33
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-nfc-4-128gb-purpurnyy-471084290/,14990,"Смартфон Xiaomi Redmi 9C NFC 4/128GB, пурпурный","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-g/6240149428.jpg,34
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-4-128gb-zelenyy-410147457/,17841,"Смартфон Xiaomi Redmi 9C 4/128GB, зеленый","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-m/6235149970.jpg,35
Vivo,Смартфоны,https://www.ozon.ru/product/smartfon-vivo-y31-4-64gb-chernyy-321856040/,16110,"Смартфон Vivo Y31 4/64GB, черный","Тип : Смартфон
Диагональ экрана, дюймы : 6.58
Емкость аккумулятора, мАч : 5000
Процессор : Snapdragon 662 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Wi-Fi, Bluetooth, NFC
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 64 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-l/6103568889.jpg,36
